price_date,commodity_name,unit,price,price_change,percentage_change,province,source
2026-06-15,Bawang Merah Ukuran Sedang,kg,55000.0,0.0,,Semua Provinsi,PIHPS Bank Indonesia
2026-06-16,Bawang Merah Ukuran Sedang,kg,54900.0,-100.0,-0.18,Semua Provinsi,PIHPS Bank Indonesia
2026-06-17,Bawang Merah Ukuran Sedang,kg,54250.0,-750.0,-1.36,Semua Provinsi,PIHPS Bank Indonesia
2026-06-18,Bawang Merah Ukuran Sedang,kg,53850.0,-1150.0,-2.09,Semua Provinsi,PIHPS Bank Indonesia
2026-06-19,Bawang Merah Ukuran Sedang,kg,53600.0,-1400.0,-2.55,Semua Provinsi,PIHPS Bank Indonesia
2026-06-22,Bawang Merah Ukuran Sedang,kg,52600.0,-2400.0,-4.36,Semua Provinsi,PIHPS Bank Indonesia
2026-06-15,Beras Kualitas Medium I,kg,16250.0,0.0,,Semua Provinsi,PIHPS Bank Indonesia
2026-06-16,Beras Kualitas Medium I,kg,16250.0,0.0,0.0,Semua Provinsi,PIHPS Bank Indonesia
2026-06-17,Beras Kualitas Medium I,kg,16250.0,0.0,0.0,Semua Provinsi,PIHPS Bank Indonesia
2026-06-18,Beras Kualitas Medium I,kg,16300.0,50.0,0.31,Semua Provinsi,PIHPS Bank Indonesia
2026-06-19,Beras Kualitas Medium I,kg,16300.0,50.0,0.31,Semua Provinsi,PIHPS Bank Indonesia
2026-06-22,Beras Kualitas Medium I,kg,16300.0,50.0,0.31,Semua Provinsi,PIHPS Bank Indonesia
2026-06-15,Cabai Merah Besar,kg,59100.0,0.0,,Semua Provinsi,PIHPS Bank Indonesia
2026-06-16,Cabai Merah Besar,kg,59350.0,250.0,0.42,Semua Provinsi,PIHPS Bank Indonesia
2026-06-17,Cabai Merah Besar,kg,58350.0,-750.0,-1.27,Semua Provinsi,PIHPS Bank Indonesia
2026-06-18,Cabai Merah Besar,kg,57850.0,-1250.0,-2.12,Semua Provinsi,PIHPS Bank Indonesia
2026-06-19,Cabai Merah Besar,kg,57500.0,-1600.0,-2.71,Semua Provinsi,PIHPS Bank Indonesia
2026-06-22,Cabai Merah Besar,kg,54850.0,-4250.0,-7.19,Semua Provinsi,PIHPS Bank Indonesia
2026-06-15,Minyak Goreng Curah,kg,20600.0,0.0,,Semua Provinsi,PIHPS Bank Indonesia
2026-06-16,Minyak Goreng Curah,kg,20550.0,-50.0,-0.24,Semua Provinsi,PIHPS Bank Indonesia
2026-06-17,Minyak Goreng Curah,kg,20600.0,0.0,0.0,Semua Provinsi,PIHPS Bank Indonesia
2026-06-18,Minyak Goreng Curah,kg,20600.0,0.0,0.0,Semua Provinsi,PIHPS Bank Indonesia
2026-06-19,Minyak Goreng Curah,kg,20600.0,0.0,0.0,Semua Provinsi,PIHPS Bank Indonesia
2026-06-22,Minyak Goreng Curah,kg,20700.0,100.0,0.49,Semua Provinsi,PIHPS Bank Indonesia
2026-06-15,Telur Ayam Ras Segar,kg,30050.0,0.0,,Semua Provinsi,PIHPS Bank Indonesia
2026-06-16,Telur Ayam Ras Segar,kg,30050.0,0.0,0.0,Semua Provinsi,PIHPS Bank Indonesia
2026-06-17,Telur Ayam Ras Segar,kg,30000.0,-50.0,-0.17,Semua Provinsi,PIHPS Bank Indonesia
2026-06-18,Telur Ayam Ras Segar,kg,29950.0,-100.0,-0.33,Semua Provinsi,PIHPS Bank Indonesia
2026-06-19,Telur Ayam Ras Segar,kg,29950.0,-100.0,-0.33,Semua Provinsi,PIHPS Bank Indonesia
2026-06-22,Telur Ayam Ras Segar,kg,29950.0,-100.0,-0.33,Semua Provinsi,PIHPS Bank Indonesia
